
CrII 3118.649 2.42 -0.08 11    4.18 0.200
MnII 2576.105 0.00  0.40 12    3.69 0.200
MnII 2939.308 1.17  0.11 12    3.99 0.200
FeI  2132.017 0.00 -1.67 13    6.05 0.150
FeI  2145.190 0.05 -1.56  1    5.88 0.230
FeI  2196.042 0.11 -0.59  1    5.86 0.170
FeI  2270.863 0.00 -2.46 13    6.02 0.150
FeI  2283.655 0.11 -2.22  1    6.18 0.230
FeI  2294.408 0.11 -1.54  1    5.88 0.210
FeI  2301.684 0.12 -1.68  1    5.79 0.200
FeI  2420.396 0.86 -2.99  1    5.93 0.230
FeI  2458.569 0.86 -2.06  1    6.15 0.230
FeI  2462.181 0.05 -1.30  1    5.79 0.220
FeI  2485.990 0.92 -1.61  1    5.73 0.210
FeI  2539.357 0.92 -1.79  1    5.99 0.170
FeI  2636.479 0.92 -2.04  1    6.04 0.160
FeI  2641.644 0.92 -1.32  1    6.01 0.230
FeI  2643.999 1.01 -0.91  1    5.83 0.200
FeI  2645.422 0.11 -2.75  1    5.85 0.190
FeI  2647.558 0.05 -2.42  1    6.12 0.210
FeI  2651.706 0.96 -2.04  1    5.70 0.210
FeI  2656.792 1.48 -1.77  1    5.75 0.160
FeI  2666.399 0.96 -1.87  1    5.95 0.210
FeI  2680.453 0.99 -1.74  1    6.02 0.210
FeI  2690.068 0.00 -2.72  1    5.90 0.220
FeI  2695.036 0.86 -2.35 13    5.91 0.200
FeI  2716.419 2.43 -1.31  1    5.67 0.170
FeI  2728.021 0.92 -1.46 13    5.88 0.200
FeI  2730.982 1.01 -1.73 13    5.89 0.200
FeI  2733.366 1.56 -2.43  1    5.83 0.230
FeI  2734.615 0.96 -2.26  1    5.75 0.200
FeI  2738.213 1.01 -2.64  1    5.96 0.160
FeI  2834.753 2.56 -1.14  1    5.71 0.220
FeI  2835.951 1.56 -1.85  1    5.78 0.210
FeI  2838.120 0.99 -1.11  1    6.00 0.200
FeI  2863.863 0.09 -2.31  1    5.93 0.220
FeI  2867.309 1.61 -1.97  1    5.74 0.150
FeI  2868.454 2.28 -1.27  1    5.96 0.160
FeI  2877.301 1.48 -1.30 13    5.75 0.200
FeI  2878.950 1.61 -2.50  1    5.96 0.170
FeI  2886.317 1.56 -2.04 13    5.90 0.150
FeI  2893.763 0.99 -2.81  1    5.92 0.170
FeI  2901.381 1.56 -1.66  1    5.97 0.160
FeI  2919.841 2.42 -0.98  1    5.71 0.160
FeI  2920.691 1.61 -1.53 13    5.80 0.150
FeI  2925.899 1.61 -2.28  1    6.07 0.160
FeI  2953.486 2.76 -0.48  1    5.91 0.170
FeI  2960.659 2.95 -1.00  1    5.80 0.170
FeI  2966.898 0.00 -0.40  1    5.99 0.150
FeI  2980.532 2.76 -0.81  1    5.87 0.170
FeI  2988.471 1.48 -2.18  1    5.86 0.160
FeI  3003.031 0.96 -1.30  1    6.01 0.190
FeI  3004.114 2.43 -1.38  1    5.64 0.160
FeI  3005.303 2.40 -1.22  1    5.69 0.190
FeI  3007.145 1.48 -1.16  1    5.73 0.200
FeI  3009.093 2.40 -0.94  1    5.89 0.200
FeI  3009.569 0.92 -0.76  1    6.25 0.220
FeI  3018.983 0.96 -1.01  1    5.99 0.220
FeI  3019.288 2.45 -1.46  1    5.80 0.220
FeI  3024.033 0.11 -1.48  1    6.03 0.200
FeI  3033.098 2.42 -1.66  1    5.95 0.170
FeI  3039.317 2.43 -1.54  1    5.82 0.170
FeI  3045.589 2.45 -1.56  1    5.54 0.170
FeI  3053.066 2.42 -0.97  1    5.69 0.210
FeI  3059.086 0.05 -0.69  1    5.84 0.220
FeI  3060.983 1.56 -2.05  1    5.96 0.160
FeI  3073.979 2.69 -1.31  1    5.81 0.230
FeI  3075.720 0.96 -0.65  1    6.23 0.220
FeI  3078.016 0.96 -2.51  1    5.85 0.220
FeI  3083.741 0.99 -1.00 13    6.22 0.250
FeI  3091.577 1.01 -1.10  1    6.00 0.280
FeI  3119.495 2.43 -0.96  1    5.98 0.210
FeI  3142.889 2.28 -1.38  1    5.93 0.210
FeII 2308.766 6.22  0.03  1    5.72 0.170
FeII 2422.932 2.58 -1.68  1    6.05 0.220
FeII 2424.390 2.58 -0.94  1    6.09 0.210
FeII 2428.800 3.89 -0.31  1    6.16 0.220
FeII 2434.237 5.29  0.25  1    5.83 0.220
FeII 2437.652 5.20 -0.36  1    5.86 0.170
FeII 2439.301 3.15  0.45  1    6.13 0.200
FeII 2444.515 2.58  0.30  1    6.22 0.200
